tx_id,customer_id,account_id,tx_date,amount,currency,direction,category,description_raw,counterparty_key,is_recurring_flag,is_variable_amount
TX00000040,CUST00001,CUST00001_CHECKING,2024-01-01,-19.163928641922674,EUR,DEBIT,GROCERIES,WHOLESALE CLUB PURCHASE,WHOLESALE CLUB,False,True
TX00000041,CUST00001,CUST00001_CHECKING,2024-01-16,-25.03657358942746,EUR,DEBIT,RESTAURANT,,FAST FOOD CHAIN A,False,True
TX00000042,CUST00001,CUST00001_CHECKING,2024-01-06,-26.444502764894125,EUR,DEBIT,RESTAURANT,SUSHI PLACE PURCHASE,SUSHI PLACE,False,True
TX00000043,CUST00001,CUST00001_CHECKING,2024-01-15,-20.26917632198786,EUR,DEBIT,MISCELLANEOUS,FOREIGN EXCHANGE PURCHASE,FOREIGN EXCHANGE,False,True
TX00000044,CUST00001,CUST00001_CHECKING,2024-01-04,-79.95097472299962,EUR,DEBIT,UTILITIES,,GAS SUPPLY INC,False,True
TX00000045,CUST00001,CUST00001_CHECKING,2024-01-05,-29.614633297735573,EUR,DEBIT,GROCERIES,LOCAL BUTCHER PURCHASE,LOCAL BUTCHER,False,True
TX00000046,CUST00001,CUST00001_CHECKING,2024-01-01,-46.64661880876184,EUR,DEBIT,SHOPPING,,CLOTHING RETAILER B,False,True
TX00000047,CUST00001,CUST00001_CHECKING,2024-01-25,-31.324420471332232,EUR,DEBIT,GROCERIES,ORGANIC FOODS MARKET PURCHASE,ORGANIC FOODS MARKET,False,True
TX00000048,CUST00001,CUST00001_CHECKING,2024-01-18,-5.082674041630557,EUR,DEBIT,SHOPPING,PET STORE PURCHASE,PET STORE,False,True
TX00000049,CUST00001,CUST00001_CHECKING,2024-01-08,-56.18848004212295,EUR,DEBIT,GROCERIES,SUPERMARKET CHAIN A PURCHASE,SUPERMARKET CHAIN A,False,True
TX00000050,CUST00001,CUST00001_CHECKING,2024-01-23,-15.345411675290883,EUR,DEBIT,RESTAURANT,THAI RESTAURANT PURCHASE,THAI RESTAURANT,False,True
TX00000051,CUST00001,CUST00001_CHECKING,2024-01-14,-8.45756190082377,EUR,DEBIT,SHOPPING,PET STORE PURCHASE,PET STORE,False,True
TX00000052,CUST00001,CUST00001_CHECKING,2024-01-02,-20.025318391232037,EUR,DEBIT,RESTAURANT,,SANDWICH SHOP,False,True
TX00000053,CUST00001,CUST00001_CHECKING,2024-01-26,-105.35433451333567,EUR,DEBIT,GROCERIES,FRESH PRODUCE STORE PURCHASE,FRESH PRODUCE STORE,False,True
TX00000054,CUST00001,CUST00001_CHECKING,2024-01-11,-13.018447677892517,EUR,DEBIT,GROCERIES,,FRESH PRODUCE STORE,False,True
TX00000055,CUST00001,CUST00001_CHECKING,2024-01-15,-698.2628357646194,EUR,DEBIT,TRANSFER_OUT,SAVINGS TRANSFER,,True,True
TX00000056,CUST00001,CUST00001_SAVINGS,2024-01-15,698.2628357646194,EUR,CREDIT,TRANSFER_IN,SAVINGS TRANSFER,,True,True
TX00000057,CUST00001,CUST00001_CHECKING,2024-02-03,2708.9235082242203,EUR,CREDIT,SALARY,SALARY PAYMENT 2024-02,GLOBAL RETAIL GROUP,True,False
TX00000058,CUST00001,CUST00001_CHECKING,2024-02-02,2760.9814783127067,EUR,CREDIT,SALARY,,GLOBAL RETAIL GROUP,True,False
TX00000059,CUST00001,CUST00001_CHECKING,2024-02-21,-392.797576724562,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-02,PERSONAL LOANS INC,True,False
TX00000060,CUST00001,CUST00001_CHECKING,2024-02-24,-869.7003346018394,EUR,DEBIT,RENT_MORTGAGE,RENT_MORTGAGE 2024-02,LANDLORD SERVICES,True,False
TX00000061,CUST00001,CUST00001_CHECKING,2024-02-22,-36.86326600082205,EUR,DEBIT,SUBSCRIPTION,,,True,False
TX00000062,CUST00001,CUST00001_CHECKING,2024-02-06,-432.9770563201687,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-02,PERSONAL LOANS INC,True,False
TX00000063,CUST00001,CUST00001_CHECKING,2024-02-12,-1020.0854118241206,EUR,DEBIT,RENT_MORTGAGE,RENT_MORTGAGE 2024-02,HOME MORTGAGE BANK,True,False
TX00000064,CUST00001,CUST00001_CHECKING,2024-02-17,-24.43752583889521,EUR,DEBIT,SUBSCRIPTION,SUBSCRIPTION 2024-02,MUSIC UNLIMITED,True,False
TX00000065,CUST00001,CUST00001_CHECKING,2024-02-25,-276.4784860194255,EUR,DEBIT,UTILITIES,UTILITIES 2024-02,GAS SUPPLY INC,True,True
TX00000066,CUST00001,CUST00001_CHECKING,2024-02-09,-220.07688464694493,EUR,DEBIT,INSURANCE,INSURANCE 2024-02,AUTO INSURANCE INC,True,False
TX00000067,CUST00001,CUST00001_CHECKING,2024-02-18,-486.25281322982374,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-02,PERSONAL LOANS INC,True,False
TX00000068,CUST00001,CUST00001_CHECKING,2024-02-20,-90.5111439413406,EUR,DEBIT,UTILITIES,UTILITIES 2024-02,ELECTRIC COMPANY,True,True
TX00000069,CUST00001,CUST00001_CHECKING,2024-02-14,-62.393155046654016,EUR,DEBIT,GROCERIES,,,False,True
TX00000070,CUST00001,CUST00001_CHECKING,2024-02-05,-9.731794615192214,EUR,DEBIT,RESTAURANT,COFFEE SHOP CHAIN PURCHASE,,False,True
TX00000071,CUST00001,CUST00001_CHECKING,2024-02-23,-2.622284856638043,EUR,DEBIT,TRANSPORT,,FUEL STATION B,False,True
TX00000072,CUST00001,CUST00001_CHECKING,2024-02-10,-18.857842915563474,EUR,DEBIT,ENTERTAINMENT,MUSEUM ENTRY PURCHASE,MUSEUM ENTRY,False,True
TX00000073,CUST00001,CUST00001_CHECKING,2024-02-17,-16.65888894046218,EUR,DEBIT,HEALTHCARE,DENTAL OFFICE PURCHASE,DENTAL OFFICE,False,True
TX00000074,CUST00001,CUST00001_CHECKING,2024-02-03,-15.349021669739086,EUR,DEBIT,SUBSCRIPTION,STREAMING SERVICE B PURCHASE,STREAMING SERVICE B,False,True
TX00000075,CUST00001,CUST00001_CHECKING,2024-02-08,-21.400053338286092,EUR,DEBIT,SHOPPING,ELECTRONICS STORE PURCHASE,ELECTRONICS STORE,False,True
TX00000076,CUST00001,CUST00001_CHECKING,2024-02-19,-44.44082830136409,EUR,DEBIT,GROCERIES,ORGANIC FOODS MARKET PURCHASE,ORGANIC FOODS MARKET,False,True
TX00000077,CUST00001,CUST00001_CHECKING,2024-02-02,-59.647120471821175,EUR,DEBIT,MISCELLANEOUS,CHECK DEPOSIT PURCHASE,CHECK DEPOSIT,False,True
TX00000078,CUST00001,CUST00001_CHECKING,2024-02-13,-10.106307817924975,EUR,DEBIT,MISCELLANEOUS,CASH DEPOSIT PURCHASE,,False,True
TX00000079,CUST00001,CUST00001_CHECKING,2024-02-09,-7.695187758700615,EUR,DEBIT,TRANSPORT,FUEL STATION B PURCHASE,FUEL STATION B,False,True
TX00000080,CUST00001,CUST00001_CHECKING,2024-02-18,-54.48034294785404,EUR,DEBIT,UTILITIES,ELECTRIC COMPANY PURCHASE,ELECTRIC COMPANY,False,True
TX00000081,CUST00001,CUST00001_CHECKING,2024-02-23,-8.000955153821847,EUR,DEBIT,ENTERTAINMENT,THEME PARK PURCHASE,THEME PARK,False,True
TX00000082,CUST00001,CUST00001_CHECKING,2024-02-16,-34.013674774427024,EUR,DEBIT,SHOPPING,HOME GOODS STORE PURCHASE,HOME GOODS STORE,False,True
TX00000083,CUST00001,CUST00001_CHECKING,2024-02-14,-26.960011286158956,EUR,DEBIT,GROCERIES,CONVENIENCE STORE PURCHASE,CONVENIENCE STORE,False,True
TX00000084,CUST00001,CUST00001_CHECKING,2024-02-05,-16.23580251743718,EUR,DEBIT,TRANSPORT,FUEL STATION B PURCHASE,FUEL STATION B,False,True
TX00000085,CUST00001,CUST00001_CHECKING,2024-02-07,-34.448822974071994,EUR,DEBIT,MISCELLANEOUS,,ATM WITHDRAWAL,False,True
TX00000086,CUST00001,CUST00001_CHECKING,2024-02-05,-46.22533626321548,EUR,DEBIT,GROCERIES,BAKERY DELIGHTS PURCHASE,BAKERY DELIGHTS,False,True
TX00000087,CUST00001,CUST00001_CHECKING,2024-02-07,-46.341089734448964,EUR,DEBIT,UTILITIES,GREEN ENERGY LTD PURCHASE,GREEN ENERGY LTD,False,True
TX00000088,CUST00001,CUST00001_CHECKING,2024-02-26,-15.636974365018977,EUR,DEBIT,RESTAURANT,,MEXICAN GRILL,False,True
TX00000089,CUST00001,CUST00001_CHECKING,2024-02-20,-56.28039392445684,EUR,DEBIT,GROCERIES,FRESH PRODUCE STORE PURCHASE,FRESH PRODUCE STORE,False,True
TX00000090,CUST00001,CUST00001_CHECKING,2024-02-06,-30.378548760558218,EUR,DEBIT,SHOPPING,HOME GOODS STORE PURCHASE,HOME GOODS STORE,False,True
TX00000091,CUST00001,CUST00001_CHECKING,2024-02-07,-8.071950249226049,EUR,DEBIT,RESTAURANT,CHINESE TAKEAWAY PURCHASE,CHINESE TAKEAWAY,False,True
TX00000092,CUST00001,CUST00001_CHECKING,2024-02-08,-14.376092003507976,EUR,DEBIT,TRANSPORT,,FUEL STATION A,False,True
TX00000093,CUST00001,CUST00001_CHECKING,2024-02-17,-54.438661649167905,EUR,DEBIT,UTILITIES,,ELECTRIC COMPANY,False,True
TX00000094,CUST00001,CUST00001_CHECKING,2024-02-16,-7.933532564810494,EUR,DEBIT,TRANSPORT,FUEL STATION B PURCHASE,FUEL STATION B,False,True
TX00000095,CUST00001,CUST00001_CHECKING,2024-02-15,-41.96406655472778,EUR,DEBIT,GROCERIES,ORGANIC FOODS MARKET PURCHASE,ORGANIC FOODS MARKET,False,True
TX00000096,CUST00001,CUST00001_CHECKING,2024-02-22,-7.717422709290211,EUR,DEBIT,TRANSPORT,FUEL STATION B PURCHASE,FUEL STATION B,False,True
TX00000097,CUST00001,CUST00001_CHECKING,2024-02-21,-31.328681887566987,EUR,DEBIT,GROCERIES,CONVENIENCE STORE PURCHASE,CONVENIENCE STORE,False,True
TX00000098,CUST00001,CUST00001_CHECKING,2024-02-05,-16.135911260844043,EUR,DEBIT,TRANSPORT,RIDE SHARE APP PURCHASE,RIDE SHARE APP,False,True
TX00000099,CUST00001,CUST00001_CHECKING,2024-02-13,-5.265127901403368,EUR,DEBIT,MISCELLANEOUS,FOREIGN EXCHANGE PURCHASE,FOREIGN EXCHANGE,False,True
TX00000100,CUST00001,CUST00001_CHECKING,2024-02-18,-33.9955220973953,EUR,DEBIT,SHOPPING,BOOKSTORE PURCHASE,BOOKSTORE,False,True
TX00000101,CUST00001,CUST00001_CHECKING,2024-02-01,-8.096584525551352,EUR,DEBIT,SHOPPING,PET STORE PURCHASE,PET STORE,False,True
TX00000102,CUST00001,CUST00001_CHECKING,2024-02-21,-29.096748372123766,EUR,DEBIT,SHOPPING,ONLINE MARKETPLACE PURCHASE,ONLINE MARKETPLACE,False,True
TX00000103,CUST00001,CUST00001_CHECKING,2024-02-03,-20.370704861168868,EUR,DEBIT,HEALTHCARE,,,False,True
TX00000104,CUST00001,CUST00001_CHECKING,2024-02-17,-34.9853721837366,EUR,DEBIT,GROCERIES,CONVENIENCE STORE PURCHASE,CONVENIENCE STORE,False,True
TX00000105,CUST00001,CUST00001_CHECKING,2024-02-10,-103.18553200934107,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000106,CUST00001,CUST00001_CHECKING,2024-02-19,-44.72474697846454,EUR,DEBIT,GROCERIES,SUPERMARKET CHAIN A PURCHASE,SUPERMARKET CHAIN A,False,True
TX00000107,CUST00001,CUST00001_CHECKING,2024-02-27,-2.492032074471419,EUR,DEBIT,ENTERTAINMENT,SPORTS TICKETS PURCHASE,SPORTS TICKETS,False,True
TX00000108,CUST00001,CUST00001_CHECKING,2024-02-25,-19.270265192080046,EUR,DEBIT,SHOPPING,ONLINE MARKETPLACE PURCHASE,ONLINE MARKETPLACE,False,True
TX00000109,CUST00001,CUST00001_CHECKING,2024-02-07,-11.881632741841656,EUR,DEBIT,TRANSPORT,,,False,True
TX00000110,CUST00001,CUST00001_CHECKING,2024-02-18,-30.805370578464466,EUR,DEBIT,RESTAURANT,ITALIAN RESTAURANT PURCHASE,ITALIAN RESTAURANT,False,True
TX00000111,CUST00001,CUST00001_CHECKING,2024-02-15,-29.374324523524272,EUR,DEBIT,SHOPPING,PET STORE PURCHASE,PET STORE,False,True
TX00000112,CUST00001,CUST00001_CHECKING,2024-02-04,-5.460173157718266,EUR,DEBIT,ENTERTAINMENT,THEME PARK PURCHASE,THEME PARK,False,True
TX00000113,CUST00001,CUST00001_CHECKING,2024-02-15,-5.6883462519714305,EUR,DEBIT,SUBSCRIPTION,,MUSIC UNLIMITED,False,True
TX00000114,CUST00001,CUST00001_CHECKING,2024-02-16,-60.51901442173807,EUR,DEBIT,GROCERIES,FRESH PRODUCE STORE PURCHASE,FRESH PRODUCE STORE,False,True
TX00000115,CUST00001,CUST00001_CHECKING,2024-02-26,-14.330534516045525,EUR,DEBIT,RESTAURANT,ITALIAN RESTAURANT PURCHASE,ITALIAN RESTAURANT,False,True
TX00000116,CUST00001,CUST00001_CHECKING,2024-02-22,-26.392645513312893,EUR,DEBIT,RESTAURANT,,THAI RESTAURANT,False,True
TX00000117,CUST00001,CUST00001_CHECKING,2024-02-26,-4.744948392049077,EUR,DEBIT,TRANSPORT,BIKE SHARE PURCHASE,BIKE SHARE,False,True
TX00000118,CUST00001,CUST00001_CHECKING,2024-02-16,-18.193439347896497,EUR,DEBIT,GROCERIES,,FARMERS MARKET,False,True
TX00000119,CUST00001,CUST00001_CHECKING,2024-02-22,-8.429975905892423,EUR,DEBIT,SUBSCRIPTION,PRODUCTIVITY SUITE PURCHASE,PRODUCTIVITY SUITE,False,True
TX00000120,CUST00001,CUST00001_CHECKING,2024-02-13,-41.32856723240295,EUR,DEBIT,SHOPPING,,CLOTHING RETAILER A,False,True
TX00000121,CUST00001,CUST00001_CHECKING,2024-02-15,-348.0978473059638,EUR,DEBIT,TRANSFER_OUT,SAVINGS TRANSFER,,True,True
TX00000122,CUST00001,CUST00001_SAVINGS,2024-02-15,348.0978473059638,EUR,CREDIT,TRANSFER_IN,SAVINGS TRANSFER,,True,True
TX00000123,CUST00001,CUST00001_CHECKING,2024-03-02,2775.0220428407533,EUR,CREDIT,SALARY,,UNIVERSITY PAYROLL,True,False
TX00000124,CUST00001,CUST00001_CHECKING,2024-03-01,2784.8768393096434,EUR,CREDIT,SALARY,SALARY PAYMENT 2024-03,HEALTHCARE PARTNERS,True,False
TX00000125,CUST00001,CUST00001_CHECKING,2024-03-21,-392.797576724562,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-03,PERSONAL LOANS INC,True,False
TX00000126,CUST00001,CUST00001_CHECKING,2024-03-24,-869.7003346018394,EUR,DEBIT,RENT_MORTGAGE,RENT_MORTGAGE 2024-03,,True,False
TX00000127,CUST00001,CUST00001_CHECKING,2024-03-22,-36.86326600082205,EUR,DEBIT,SUBSCRIPTION,SUBSCRIPTION 2024-03,FITNESS APP,True,False
TX00000128,CUST00001,CUST00001_CHECKING,2024-03-06,-432.9770563201687,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-03,PERSONAL LOANS INC,True,False
TX00000129,CUST00001,CUST00001_CHECKING,2024-03-12,-1020.0854118241206,EUR,DEBIT,RENT_MORTGAGE,RENT_MORTGAGE 2024-03,HOME MORTGAGE BANK,True,False
TX00000130,CUST00001,CUST00001_CHECKING,2024-03-17,-24.43752583889521,EUR,DEBIT,SUBSCRIPTION,SUBSCRIPTION 2024-03,MUSIC UNLIMITED,True,False
TX00000131,CUST00001,CUST00001_CHECKING,2024-03-25,-197.48463287101822,EUR,DEBIT,UTILITIES,UTILITIES 2024-03,GAS SUPPLY INC,True,True
TX00000132,CUST00001,CUST00001_CHECKING,2024-03-09,-220.07688464694493,EUR,DEBIT,INSURANCE,INSURANCE 2024-03,AUTO INSURANCE INC,True,False
TX00000133,CUST00001,CUST00001_CHECKING,2024-03-18,-486.25281322982374,EUR,DEBIT,LOAN_PAYMENT,LOAN_PAYMENT 2024-03,PERSONAL LOANS INC,True,False
TX00000134,CUST00001,CUST00001_CHECKING,2024-03-20,-64.65081710095758,EUR,DEBIT,UTILITIES,UTILITIES 2024-03,ELECTRIC COMPANY,True,True
TX00000135,CUST00001,CUST00001_CHECKING,2024-03-11,-10.2753287502424,EUR,DEBIT,RESTAURANT,,COFFEE SHOP CHAIN,False,True
TX00000136,CUST00001,CUST00001_CHECKING,2024-03-23,-17.64723262363086,EUR,DEBIT,GROCERIES,,,False,True
TX00000137,CUST00001,CUST00001_CHECKING,2024-03-22,-35.10132724956457,EUR,DEBIT,MISCELLANEOUS,CHECK DEPOSIT PURCHASE,CHECK DEPOSIT,False,True
TX00000138,CUST00001,CUST00001_CHECKING,2024-03-02,-22.234448984330868,EUR,DEBIT,MISCELLANEOUS,ATM WITHDRAWAL PURCHASE,ATM WITHDRAWAL,False,True
TX00000139,CUST00001,CUST00001_CHECKING,2024-03-04,-9.998406643337223,EUR,DEBIT,RESTAURANT,SUSHI PLACE PURCHASE,SUSHI PLACE,False,True
TX00000140,CUST00001,CUST00001_CHECKING,2024-03-26,-44.048853918238414,EUR,DEBIT,GROCERIES,SUPERMARKET CHAIN A PURCHASE,,False,True
TX00000141,CUST00001,CUST00001_CHECKING,2024-03-01,-6.306807622767355,EUR,DEBIT,TRANSPORT,TAXI SERVICE PURCHASE,TAXI SERVICE,False,True
TX00000142,CUST00001,CUST00001_CHECKING,2024-03-12,-37.68059667443989,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000143,CUST00001,CUST00001_CHECKING,2024-03-23,-31.949706090034578,EUR,DEBIT,GROCERIES,FRESH PRODUCE STORE PURCHASE,FRESH PRODUCE STORE,False,True
TX00000144,CUST00001,CUST00001_CHECKING,2024-03-12,-16.172738827890207,EUR,DEBIT,HEALTHCARE,HOSPITAL SERVICES PURCHASE,HOSPITAL SERVICES,False,True
TX00000145,CUST00001,CUST00001_CHECKING,2024-03-08,-15.52473627558863,EUR,DEBIT,SHOPPING,ELECTRONICS STORE PURCHASE,,False,True
TX00000146,CUST00001,CUST00001_CHECKING,2024-03-05,-6.54747671875192,EUR,DEBIT,SUBSCRIPTION,VPN SERVICE PURCHASE,VPN SERVICE,False,True
TX00000147,CUST00001,CUST00001_CHECKING,2024-03-04,-43.455680362551654,EUR,DEBIT,GROCERIES,BAKERY DELIGHTS PURCHASE,BAKERY DELIGHTS,False,True
TX00000148,CUST00001,CUST00001_CHECKING,2024-03-19,-41.44820804643424,EUR,DEBIT,MISCELLANEOUS,CHECK DEPOSIT PURCHASE,CHECK DEPOSIT,False,True
TX00000149,CUST00001,CUST00001_CHECKING,2024-03-02,-1.6674109520559157,EUR,DEBIT,TRANSPORT,TOLL ROADS PURCHASE,TOLL ROADS,False,True
TX00000150,CUST00001,CUST00001_CHECKING,2024-03-06,-40.36076088638257,EUR,DEBIT,MISCELLANEOUS,BANK FEE PURCHASE,BANK FEE,False,True
TX00000151,CUST00001,CUST00001_CHECKING,2024-03-20,-18.230533341146405,EUR,DEBIT,RESTAURANT,FAST FOOD CHAIN A PURCHASE,FAST FOOD CHAIN A,False,True
TX00000152,CUST00001,CUST00001_CHECKING,2024-03-01,-16.881880339588367,EUR,DEBIT,SHOPPING,HARDWARE STORE PURCHASE,HARDWARE STORE,False,True
TX00000153,CUST00001,CUST00001_CHECKING,2024-03-27,-46.03272528800879,EUR,DEBIT,GROCERIES,NEIGHBORHOOD MARKET PURCHASE,NEIGHBORHOOD MARKET,False,True
TX00000154,CUST00001,CUST00001_CHECKING,2024-03-13,-10.823916154967796,EUR,DEBIT,SHOPPING,,HOME GOODS STORE,False,True
TX00000155,CUST00001,CUST00001_CHECKING,2024-03-27,-9.838428851722842,EUR,DEBIT,SUBSCRIPTION,STREAMING SERVICE B PURCHASE,STREAMING SERVICE B,False,True
TX00000156,CUST00001,CUST00001_CHECKING,2024-03-27,-14.918749893818664,EUR,DEBIT,SHOPPING,ONLINE MARKETPLACE PURCHASE,ONLINE MARKETPLACE,False,True
TX00000157,CUST00001,CUST00001_CHECKING,2024-03-14,-4.948832924661412,EUR,DEBIT,SHOPPING,DEPARTMENT STORE PURCHASE,DEPARTMENT STORE,False,True
TX00000158,CUST00001,CUST00001_CHECKING,2024-03-25,-69.96689179080393,EUR,DEBIT,GROCERIES,ORGANIC FOODS MARKET PURCHASE,ORGANIC FOODS MARKET,False,True
